GRAMMAR is E->E+E 
 E->E*E 
 E->(E) 
 E->id
enter input string 
id+id*id                //Enter this as input string
stack    input   action

$       id+id*id$       SHIFT->id
$id       +id*id$       REDUCE TO E
$E        +id*id$       SHIFT->id
$E+        id*id$       SHIFT->id
$E+id        *id$       REDUCE TO E
$E+E         *id$       REDUCE TO E
$E           *id$       SHIFT->id
$E*           id$       SHIFT->id
$E*id           $       REDUCE TO E
$E*E            $       REDUCE TO E
$E              $       Accept
